id;name;slug;description;brand;price;original_price;category_name;stock;tags;specs;is_featured;is_active;created_at;updated_at;image_url
1;Dán viền vợt EDGE GUARD - EG005 - Back to 80s;dan-vien-vot-edge;Miếng dán bảo vệ viền vợt Pickleball Picko Inn phiên bản Back to 80s. Chất liệu PU cao cấp, bám dính cực tốt, chống trầy xước và mang lại vẻ ngoài độc đáo cho cây vợt của bạn.;Picko Inn;99000;99000;Phụ kiện;30;{Pickleball, Thể thao};{};False;True;2026-04-13T20:16:57.476301;2026-04-13T20:16:57.476301;https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/mieng_dan_vot/1.jpg, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/mieng_dan_vot/2.jpg
2;Dán viền vợt EDGE GUARD - EG006 - Back to 90s;dan-vien-vot-edge;Miếng dán bảo vệ viền vợt Pickleball Picko Inn phiên bản Back to 90s. Chất liệu PU cao cấp, bám dính cực tốt, chống trầy xước và mang lại vẻ ngoài độc đáo cho cây vợt của bạn.;Picko Inn;99000;99000;Phụ kiện;30;{Pickleball, Thể thao};{};False;True;2026-04-13T20:16:57.476301;2026-04-13T20:16:57.476301;
3;Dán viền vợt EDGE GUARD - EG025 - Vũng Tàu;dan-vien-vot-edge;Miếng dán bảo vệ viền vợt Pickleball Picko Inn phiên bản Vũng Tàu. Chất liệu PU cao cấp, bám dính cực tốt, chống trầy xước và mang lại vẻ ngoài độc đáo cho cây vợt của bạn.;Picko Inn;99000;99000;Phụ kiện;30;{Pickleball, Thể thao};{};False;True;2026-04-13T20:16:57.476301;2026-04-13T20:16:57.476301;
4;Dán viền vợt EDGE GUARD - EG030 - Christmas;dan-vien-vot-edge;Miếng dán bảo vệ viền vợt Pickleball Picko Inn phiên bản Christmas. Chất liệu PU cao cấp, bám dính cực tốt, chống trầy xước và mang lại vẻ ngoài độc đáo cho cây vợt của bạn.;Picko Inn;99000;99000;Phụ kiện;30;{Pickleball, Thể thao};{};False;True;2026-04-13T20:16:57.476301;2026-04-13T20:16:57.476301;
5;Dán viền vợt EDGE GUARD - EG028 - Hallowinn;dan-vien-vot-edge;Miếng dán bảo vệ viền vợt Pickleball Picko Inn phiên bản Hallowinn. Chất liệu PU cao cấp, bám dính cực tốt, chống trầy xước và mang lại vẻ ngoài độc đáo cho cây vợt của bạn.;Picko Inn;99000;99000;Phụ kiện;25;{Pickleball, Thể thao};{};False;True;2026-04-13T20:16:57.476301;2026-04-13T20:16:57.476301;
6;Dán viền vợt EDGE GUARD - EG015 - Vietnam;dan-vien-vot-edge;Miếng dán bảo vệ viền vợt Pickleball Picko Inn phiên bản Vietnam. Chất liệu PU cao cấp, bám dính cực tốt, chống trầy xước và mang lại vẻ ngoài độc đáo cho cây vợt của bạn.;Picko Inn;99000;99000;Phụ kiện;30;{Pickleball, Thể thao};{};False;True;2026-04-13T20:16:57.476301;2026-04-13T20:16:57.476301;
7;Dán viền vợt EDGE GUARD - EG037 - India;dan-vien-vot-edge;Miếng dán bảo vệ viền vợt Pickleball Picko Inn phiên bản India. Chất liệu PU cao cấp, bám dính cực tốt, chống trầy xước và mang lại vẻ ngoài độc đáo cho cây vợt của bạn.;Picko Inn;99000;99000;Phụ kiện;30;{Pickleball, Thể thao};{};False;True;2026-04-13T20:16:57.476301;2026-04-13T20:16:57.476301;
8;Dán viền vợt EDGE GUARD - EG029 - Đờn Ca Tài Tử;dan-vien-vot-edge;Miếng dán bảo vệ viền vợt Pickleball Picko Inn phiên bản Đờn Ca Tài Tử. Chất liệu PU cao cấp, bám dính cực tốt, chống trầy xước và mang lại vẻ ngoài độc đáo cho cây vợt của bạn.;Picko Inn;99000;99000;Phụ kiện;20;{Pickleball, Thể thao};{};False;True;2026-04-13T20:16:57.476301;2026-04-13T20:16:57.476301;
9;Dán viền vợt EDGE GUARD - EG035 - Mã Tấu;dan-vien-vot-edge;Miếng dán bảo vệ viền vợt Pickleball Picko Inn phiên bản Mã Tấu. Chất liệu PU cao cấp, bám dính cực tốt, chống trầy xước và mang lại vẻ ngoài độc đáo cho cây vợt của bạn.;Picko Inn;99000;99000;Phụ kiện;50;{Pickleball, Thể thao};{};False;True;2026-04-13T20:16:57.476301;2026-04-13T20:16:57.476301;
36;Vợt Luzz Pro 4 Tornazo - Hồng;vot-luzz-pro-4;Vợt Luzz Pro 4 Tornazo - Hồng là dòng vợt Pickleball chuyên nghiệp từ Luzz. Công nghệ lõi MPP dày 16mm giúp giảm rung chấn, mặt Carbon Fiber tăng độ xoáy và kiểm soát bóng hoàn hảo.;Luzz;8134000;8134000;Vợt Pickleball;3;{Pickleball, Thể thao};{};False;True;2026-04-13T20:16:57.476301;2026-04-13T20:16:57.476301;
37;Vợt Luzz Pro 4 Tornazo- Xám;vot-luzz-pro-4;Vợt Luzz Pro 4 Tornazo- Xám là dòng vợt Pickleball chuyên nghiệp từ Luzz. Công nghệ lõi MPP dày 16mm giúp giảm rung chấn, mặt Carbon Fiber tăng độ xoáy và kiểm soát bóng hoàn hảo.;Luzz;8134000;8134000;Vợt Pickleball;4;{Pickleball, Thể thao};{};False;True;2026-04-13T20:16:57.476301;2026-04-13T20:16:57.476301;
38;Vợt Luzz Pro Cannon All Black;vot-luzz-pro-cannon;Vợt Luzz Pro Cannon All Black là dòng vợt Pickleball chuyên nghiệp từ Luzz. Công nghệ lõi MPP dày 16mm giúp giảm rung chấn, mặt Carbon Fiber tăng độ xoáy và kiểm soát bóng hoàn hảo.;Luzz;3179000;3179000;Vợt Pickleball;8;{Pickleball, Thể thao};{};False;True;2026-04-13T20:16:57.476301;2026-04-13T20:16:57.476301;
39;Vợt Luzz Pro 4 Inferno;vot-luzz-pro-4;Vợt Luzz Pro 4 Inferno là dòng vợt Pickleball chuyên nghiệp từ Luzz. Công nghệ lõi MPP dày 16mm giúp giảm rung chấn, mặt Carbon Fiber tăng độ xoáy và kiểm soát bóng hoàn hảo.;Luzz;8134000;8134000;Vợt Pickleball;12;{Pickleball, Thể thao};{};False;True;2026-04-13T20:16:57.476301;2026-04-13T20:16:57.476301;
40;Bóng thi đấu Kaiwin - Pro (Hộp 3 quả);bong-thi-au-kaiwin;Bóng Pickleball Bóng thi đấu Kaiwin - Pro (Hộp 3 quả) đạt chuẩn thi đấu. Thiết kế khí động học với 40 lỗ giúp bay ổn định, chất liệu bền bỉ cho độ nảy nhất quán trên mọi mặt sân.;Kaiwin;199000;199000;Bóng Pickleball;60;{Pickleball, Thể thao};{};False;True;2026-04-13T20:16:57.476301;2026-04-13T20:16:57.476301;
41;Bóng thi đấu Kaiwin - Pro (Hộp 6 quả);bong-thi-au-kaiwin;Bóng Pickleball Bóng thi đấu Kaiwin - Pro (Hộp 6 quả) đạt chuẩn thi đấu. Thiết kế khí động học với 40 lỗ giúp bay ổn định, chất liệu bền bỉ cho độ nảy nhất quán trên mọi mặt sân.;Kaiwin;399000;399000;Bóng Pickleballn;35;{Pickleball, Thể thao};{};False;True;2026-04-13T20:16:57.476301;2026-04-13T20:16:57.476301;
42;Bóng thi đấu 48 lỗ;bong-thi-au-48;Bóng Pickleball Bóng thi đấu 48 lỗ đạt chuẩn thi đấu. Thiết kế khí động học với 40 lỗ giúp bay ổn định, chất liệu bền bỉ cho độ nảy nhất quán trên mọi mặt sân.;Kaiwin;399000;399000;Bóng Pickleball;40;{Pickleball, Thể thao};{};False;True;2026-04-13T20:16:57.476301;2026-04-13T20:16:57.476301;
79;Paddles Pro Series - Nexx - 16MM;paddles-pro-series-nexx;Vợt Paddles Pro Series - Nexx - 16MM thuộc phân khúc cao cấp. Thiết kế elongated tăng tầm với, bề mặt nhám chuyên dụng cho những cú smash đầy uy lực và độ xoáy cao.;Facolos;5000000;5000000;Vợt Pickleball;2;{Pickleball, Thể thao};{};False;True;2026-04-13T20:16:57.476301;2026-04-13T20:16:57.476301;
80;Paddles Pro Series - Nexx - 16MM;paddles-pro-series-nexx;Vợt Paddles Pro Series - Nexx - 16MM thuộc phân khúc cao cấp. Thiết kế elongated tăng tầm với, bề mặt nhám chuyên dụng cho những cú smash đầy uy lực và độ xoáy cao.;Facolos;5000000;5000000;Vợt Pickleball;2;{Pickleball, Thể thao};{};False;True;2026-04-13T20:16:57.476301;2026-04-13T20:16:57.476301;
81;Paddles Pro Series - Nexx - 16MM;paddles-pro-series-nexx;Vợt Paddles Pro Series - Nexx - 16MM thuộc phân khúc cao cấp. Thiết kế elongated tăng tầm với, bề mặt nhám chuyên dụng cho những cú smash đầy uy lực và độ xoáy cao.;Facolos;5000000;5000000;Vợt Pickleball;2;{Pickleball, Thể thao};{};False;True;2026-04-13T20:16:57.476301;2026-04-13T20:16:57.476301;
82;Paddles Pro Series - Nexx - 16MM;paddles-pro-series-nexx;Vợt Paddles Pro Series - Nexx - 16MM thuộc phân khúc cao cấp. Thiết kế elongated tăng tầm với, bề mặt nhám chuyên dụng cho những cú smash đầy uy lực và độ xoáy cao.;Facolos;5000000;5000000;Vợt Pickleball;2;{Pickleball, Thể thao};{};False;True;2026-04-13T20:16:57.476301;2026-04-13T20:16:57.476301;
83;Paddles Pro Series - Nexx - 16MM;paddles-pro-series-nexx;Vợt Paddles Pro Series - Nexx - 16MM thuộc phân khúc cao cấp. Thiết kế elongated tăng tầm với, bề mặt nhám chuyên dụng cho những cú smash đầy uy lực và độ xoáy cao.;Facolos;5000000;5000000;Vợt Pickleball;1;{Pickleball, Thể thao};{};False;True;2026-04-13T20:16:57.476301;2026-04-13T20:16:57.476301;
84;Paddles Pro Series - Nexx - 16MM;paddles-pro-series-nexx;Vợt Paddles Pro Series - Nexx - 16MM thuộc phân khúc cao cấp. Thiết kế elongated tăng tầm với, bề mặt nhám chuyên dụng cho những cú smash đầy uy lực và độ xoáy cao.;Facolos;5000000;5000000;Vợt Pickleball;1;{Pickleball, Thể thao};{};False;True;2026-04-13T20:16:57.476301;2026-04-13T20:16:57.476301;
85;Vợt Pickleball Paddles, Pro Series EliteX Elongate 16MM;vot-pickleball-paddles-pro;Vợt Pickleball Paddles, Pro Series EliteX Elongate 16MM thuộc phân khúc cao cấp. Thiết kế elongated tăng tầm với, bề mặt nhám chuyên dụng cho những cú smash đầy uy lực và độ xoáy cao.;Facolos;5000000;5000000;Vợt Pickleball;3;{Pickleball, Thể thao};{};False;True;2026-04-13T20:16:57.476301;2026-04-13T20:16:57.476301;https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/EliteXElongate.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/9.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/8.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/2.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/3.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/4.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/5.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/6.png
86;Vợt Pickleball Paddles, Pro Series EliteX Elongate 16MM;vot-pickleball-paddles-pro;Vợt Pickleball Paddles, Pro Series EliteX Elongate 16MM thuộc phân khúc cao cấp. Thiết kế elongated tăng tầm với, bề mặt nhám chuyên dụng cho những cú smash đầy uy lực và độ xoáy cao.;Facolos;5000000;5000000;Vợt Pickleball;3;{Pickleball, Thể thao};{};False;True;2026-04-13T20:16:57.476301;2026-04-13T20:16:57.476301;https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/EliteXElongate.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/9.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/8.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/2.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/3.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/4.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/5.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/6.png
87;Vợt Pickleball Paddles, Pro Series EliteX Elongate 16MM;vot-pickleball-paddles-pro;Vợt Pickleball Paddles, Pro Series EliteX Elongate 16MM thuộc phân khúc cao cấp. Thiết kế elongated tăng tầm với, bề mặt nhám chuyên dụng cho những cú smash đầy uy lực và độ xoáy cao.;Facolos;5000000;5000000;Vợt Pickleball;2;{Pickleball, Thể thao};{};False;True;2026-04-13T20:16:57.476301;2026-04-13T20:16:57.476301;https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/EliteXElongate.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/9.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/8.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/2.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/3.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/4.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/5.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/6.png
88;Vợt Pickleball Paddles, Pro Series EliteX Elongate 16MM;vot-pickleball-paddles-pro;Vợt Pickleball Paddles, Pro Series EliteX Elongate 16MM thuộc phân khúc cao cấp. Thiết kế elongated tăng tầm với, bề mặt nhám chuyên dụng cho những cú smash đầy uy lực và độ xoáy cao.;Facolos;5000000;5000000;Vợt Pickleball;2;{Pickleball, Thể thao};{};False;True;2026-04-13T20:16:57.476301;2026-04-13T20:16:57.476301;https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/EliteXElongate.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/9.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/8.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/2.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/3.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/4.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/5.png, https://xvkotjznfupazecaaucl.supabase.co/storage/v1/object/public/product/vot_pick_facolos/6.png
